## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
fts-grep-splits-punctuated-terms                        tail   1   0  2026-07-17  open · --grep silently returns 0 results for punctuated terms: '0.7.0' (dot), 'digest-coverage' (hyphen), 'Peer/Grant' (slash) all tokenize apart in FTS5, so exact-phrase searches for version numbers, hyphenated names, and slashed concepts read as ABSENCE when the content exists (audit agents recovered each via single-word retries). Fix-shape: either quote-aware phrase queries on the FTS path, or a documented substring fallback when the term contains punctuation, or at minimum a rendered hint ('term tokenizes to X Y — searching as phrase') so absence claims are honest. Surfaced by the 0.7.0 design-state audit 2026-07-16 across three independent terms.

## OBSERVATION (172)
KEY                                                                       TIER   N  IN  DATE        MESSAGE
design/disclosure-grammar-smoke-test-catalog                              high   1   5  2026-06-13  SMOKE-TEST DELIVERABLE (2026-06-13, hybrid hands-on + breadth sweep, 34 verified grammar gaps). READINESS VERDICT: READY for the UX/honest-disclosure session — the SUBSTRATE is coherent and honest; the DISCLOSURE is not, and the gap is fully narratable (this catalog IS the migration spec). Painted-view build still gated on painted 0.2.0. ROOT CAUSE (single): the era boundary is narrated at the TICK layer (per-row sig-checkmark vs unsigned, no alarm) but nowhere at the fact-signature layer or the headline, so the reader model (attestation total+monotone; checkmark=attested; unsigned=wrong) collides with reality (attestation progressive-from-era-boundary; checkmark=no-break; unsigned=pre-era-or-unkeyed). TIER-1 honesty fixes (next session, no new machinery — copy the tick-layer era grammar down): (a) checkmark must distinguish attested from no-break — a 0-tick/0-signed store reports chain-intact + ok + fact_sig_ok vacuously [ZG-2,F1]; (b) covered (receipt) vs signed (authorship) are orthogonal, stop stacking as a fraction [ZG-7]; (c) the warning keyed-observer-no-signed-facts is backwards-from-tamper-logic, fires on vertex-key + pre-era principals, silent on kyle/loops-claude (79 signed/1055 unsigned where a strip could hide); reserve warning for keyed observer who signed-then-stopped, state era plainly otherwise [ZG-3-corrected,F3]; (d) -v/-vv deepen only the all-green tick table, never the warning; --json carries per-observer detail the text withholds [ZG-1]; (e) read --ticks list is attestation-blind at every zoom while store verify is rich — pick a canonical tick grammar [ZG-4,F7]; (f) glyph collision: leading checkmark=chain-link appears on signed AND unsigned ticks [ZG-5,F5]. CANDIDATE BEHAVIORAL BUGS (UNVERIFIED — repro on KEYED copies first, several smell like tmp-copy-without-keys artifacts): verify-vs-reanchor opposite verdict on identical bytes [HIGH, if real one integrity verb is weaker than it reads]; seal mints unsigned tick reporting success [likely no-keys artifact, but seal never discloses its signing outcome = real gap]; read-path green over broken-signature fact [FC-04]; read --ticks on archive db path hard-crashes UTF-8 codec [F8]; reanchor no-key refusal is a raw traceback. CLI ergonomics: read --help omits --since/--ticks/--id/--refs [FC-01]; read silently ignores -1/--since in fold mode, no newest-selector [FC-02]; sl emit VERTEXNAME silently writes kind=VERTEXNAME to default vertex [footgun]. Full per-finding detail in session workflow output wm7y2wraf.
external-paradigm-validation                                              mid    1   4  2026-03-20  First external validation of the paradigm by a cold reader's Claude. Three-pass progression: (1) framed as project management tool, (2) self-corrected to attention paradigm ('the loop closes through the observer, not the mechanism'), (3) with Shannon-Weaver context, re-presented the paradigm more clearly than our docs. Key phrasings arrived at independently: 'a vertex is a place where attention can accumulate', 'boundaries are resolutions not triggers', 'lenses decode for a specific observer', 'one topology subsumes all of them'. The experiments table showing all .loop files as the same shape was the dissolution proof stated as data. Closing: 'do you want one system whose shape conforms to how you think, or many systems whose shapes you conform to?'
convergence/trust-topology-write-receipt                                  mid    1   4  2026-05-13  Observation: alcove's trust-topology essay (April 30, 2026) maps write-receipt-vs-temporal-query directly to trust — 'a grant fact is a write-receipt: stable, immutable, yours. The current trust posture is a temporal query: derived, mutable.' Third site of convergence on this principle (after comms set_topic and vouch grant-vs-state). Independent appearance at three sites is structural evidence the principle is load-bearing for the substrate, not just for individual write operations. The Grant-as-Fact architectural move we've been working out is the operational form of alcove's substrate claim — fact-trust is the substrate; person-trust and lineage-trust are layers above. Our work on Peer/Grant lift is downstream of the substrate framing alcove names.
pattern/runtime-model-assumption-leak                                     mid    2   3  2026-05-13  Pattern named 2026-05-13 #vouch-impl during service-shell exercise; landed durable on vouch main 7958fe5 in docs/friction/service-shell-exercise.md Obs 2. loops substrate was shaped under single-threaded CLI assumptions; vouch (first concurrent-runtime consumer) surfaced the first instance: SqliteStore connection is thread-affine, sqlite3.connect() without check_same_thread=False at libs/engine/src/engine/sqlite_store.py:99. Consumer-owns-threading is the right resolution at N=1 — same shape as VouchPolicy substrate-doesn't-enforce disciplines. Three substrate options rejected/accepted: (a) check_same_thread=False NOT safe relax (WAL corruption without consumer-side locking); (b) connection-per-thread pool is substrate change for N=1 AND pool shape is consumer-runtime-dependent (Litestar workers vs trio nursery vs asyncio task group); (c) consumer-owns-threading correct. At N=2 the substrate-side action is documentation (SqliteStore docstring: 'connection is thread-affine; consumer confines access to constructing thread'), not implementation change. Latent assumption-leak candidates for eventual review: does emit block on fsync? is there a streaming-write contract? does replay assume monotonic ts under concurrent writes? Meta-pattern: 'first concurrent consumer surfaces substrate assumptions' — future instances should be obvious-shape because we've named it. Framework-agnostic phrasing chosen so the pattern is recognizable across runtimes. Friction-doc landed 7 obs total (Litestar paper cuts 1,3,4; SqliteStore 2; library-vs-shell TTL plumbing 5; RFC 7807 info-disclosure 6; Unicode Cf-category whitespace 7) plus discipline (5) banked with provenance framing.
pattern/foo                                                               mid    5   0  2026-05-20  (test fixture from friction:entity-ref-resolver-treats-topic-as-ref repro — ignore)
practice/foo                                                              mid    5   0  2026-05-20  (test fixture from friction:entity-ref-resolver-treats-topic-as-ref repro — ignore)
implementation/reanchor-verify-not-divergent                              mid    1   4  2026-06-14  Investigated the smoke-test's HIGH candidate-bug "verify-vs-reanchor opposite verdict on identical bytes" (from observation:design/disclosure-grammar-smoke-test-catalog). VERDICT: not an integrity-verb divergence. Three confirmations on properly-keyed stores: (1) verify and reanchor AGREE on a keyed copy of the current store, and reanchor is BYTE-IDEMPOTENT — the db sha256 is unchanged after "96 facts re-signed, 8 ticks re-chained" because ed25519 is deterministic, so re-signing canonical bytes reproduces identical signatures; (2) reanchor with private keys absent raises BEFORE any write (post-sha == pre-sha) — the engine explicitly guards "refusing partial re-anchor; a signed fact must not lose authorship"; (3) the JCS swap (c1f50ed) is a no-op for existing ASCII/integer payloads — compact-sorted JSON already equals RFC 8785 for that content, which is why reanchor changed zero bytes and why even the pre-JCS archive still verifies chain-intact. The "opposite verdict" reduces to: verify succeeds while reanchor's no-key / no-vertex REFUSAL rendered as a raw Python traceback (uncaught ValueError) — read as a crash / contradicting verdict. Both refusals carry excellent messages; they were just not caught at the CLI boundary. FIX LANDED: catch (ValueError, FileNotFoundError) at the store view boundary (apps/loops/src/loops/cli/views/store.py), render via reporter.err + exit 1; other exception types still raise so genuine bugs stay debuggable. 3 regression tests + full app suite green (1322 passed). This is the first TIER-1 disclosure-honesty fix and it de-risks the broader pass: verify's GREEN is honest about chain-integrity — only the signature-disclosure grammar (checkmark-vs-attested, the backwards warning, covered-vs-signed) still needs work.
